id,nama_lokal,nama_latin,bagian_digunakan,gejala_target,konteks_penyakit_tropis,ringkasan_manfaat,evidence_level,catatan_keamanan,sumber_utama
herb_001,Jahe,Zingiber officinale,rimpang,"mual;muntah ringan;ketidaknyamanan lambung","demam tifoid ringan dengan mual;keluhan mual pada infeksi ringan","Jahe paling konsisten didukung untuk membantu meredakan mual dan muntah, sehingga berguna sebagai pendamping pada penyakit tropis yang disertai mual.",high,"Hati-hati pada pengguna pengencer darah, gangguan perdarahan, atau keluhan lambung tertentu. Bukan terapi utama untuk dehidrasi atau infeksi berat.","Kemenkes Keslan 2022; PubMed PMID 38072785; PubMed PMID 10793599"
herb_002,Kunyit,Curcuma longa,rimpang,"radang ringan;nyeri ringan;gangguan pencernaan;sakit tenggorokan ringan","keluhan tenggorokan dan gangguan pencernaan yang menyertai infeksi","Kunyit memiliki sifat antiinflamasi dan secara tradisional digunakan untuk membantu keluhan pencernaan serta tenggorokan.",medium,"Hati-hati pada gangguan empedu, penggunaan antikoagulan, dan penggunaan dosis tinggi jangka panjang. Jangan diposisikan sebagai terapi utama infeksi bakteri berat.","Kemenkes Keslan 2022 artikel kunyit; Kemenkes Keslan 2022 pengobatan tradisional batuk"
herb_003,Temulawak,Curcuma xanthorrhiza,rimpang,"nafsu makan menurun;mual ringan;lemas;gangguan pencernaan","fase pemulihan; penurunan nafsu makan pada anak/dewasa; keluhan lambung ringan","Temulawak banyak digunakan di Indonesia untuk membantu meningkatkan nafsu makan dan membantu keluhan pencernaan ringan.",medium,"Hati-hati pada gangguan hati/empedu tertentu dan penggunaan bersamaan dengan obat tertentu. Tidak untuk menggantikan evaluasi medis pada demam berkepanjangan.","Kemenkes Keslan 2022 7 jamu herbal; PubMed PMID 34194529"
herb_004,Sambiloto,Andrographis paniculata,herba/daun,"demam;sakit tenggorokan;gejala ISPA ringan","kasus gejala mirip infeksi tenggorokan atau infeksi virus ringan yang menjadi pembanding gejala penyakit tropis","Sambiloto memiliki dukungan klinis untuk membantu meredakan gejala infeksi saluran napas atas tanpa komplikasi, termasuk demam dan sakit tenggorokan.",high,"Dapat menimbulkan efek samping ringan pada sebagian orang. Tidak untuk ibu hamil tanpa evaluasi medis. Jangan menggantikan antibiotik bila infeksi bakteri berat dicurigai.","PubMed PMID 28783743; PubMed PMID 1797953; PubMed PMID 33372366"
herb_005,Meniran,Phyllanthus niruri,herba,"dukungan daya tahan tubuh;kelelahan ringan","fase pemulihan; sebagai komponen formula jamu pendamping","Meniran sering muncul dalam formula jamu Indonesia dan memiliki potensi imunomodulator, tetapi bukti langsung untuk gejala penyakit tropis tertentu masih lebih terbatas.",low_to_medium,"Jangan diklaim sebagai terapi utama infeksi akut. Perlu kehati-hatian pada penggunaan bersama obat tertentu dan pada pasien dengan kondisi kronis.","Kemenkes repository formula jamu temulawak-kunyit-meniran; PubMed PMID 27283048"
herb_006,Daun Jambu Biji / Jambu Biji,Psidium guajava,daun dan buah,"diare;dukungan hidrasi/nutrisi;daya tahan tubuh","diare infeksius ringan; fase pemulihan; dukungan nutrisi umum","Daun jambu biji memiliki dukungan tradisional dan ilmiah yang cukup baik untuk diare, sedangkan buahnya membantu asupan vitamin C dan nutrisi umum.",high,"Pada diare dengan darah, dehidrasi, demam tinggi, atau anak kecil, tetap perlu evaluasi medis. Klaim pada DBD harus sangat hati-hati dan tidak boleh menggantikan perawatan klinis.","Kemenkes Keslan 2022 manfaat jambu biji; PubMed PMID 39246650; PubMed PMID 32507357"
herb_007,Kencur,Kaempferia galanga,rimpang,"mual ringan;kembung;nafsu makan menurun;pegal ringan","keluhan penyerta pada masa pemulihan atau gejala ringan","Kencur banyak dipakai dalam jamu beras kencur untuk membantu rasa mual, kembung, pegal, dan nafsu makan, namun bukti klinis modernnya belum sekuat jahe atau sambiloto.",low_to_medium,"Gunakan sebagai pendamping gejala ringan. Jangan digunakan untuk menunda penanganan medis pada demam tinggi atau nyeri berat.","Kemenkes Keslan 2022 7 jamu herbal; PubMed PMID 34737693"
herb_008,Madu,,produk lebah,"batuk ringan;iritasi tenggorokan;ketidaknyamanan saluran napas atas","sakit tenggorokan ringan; batuk ringan; gejala saluran napas atas yang menjadi pembanding penyakit tropis","Madu memiliki dukungan cukup baik untuk membantu meredakan batuk dan iritasi tenggorokan ringan melalui efek demulsen dan potensi antimikroba alami.",high,"Jangan diberikan pada bayi di bawah 12 bulan. Hati-hati pada penderita diabetes atau alergi tertentu. Tidak menggantikan evaluasi medis bila demam tinggi atau sesak.","Kemenkes Keslan 2022 manfaat madu; Kemenkes Keslan 2022 batuk dengan pengobatan tradisional; PubMed PMID 32817011; PubMed PMID 37355498"
herb_009,Kayu manis,Cinnamomum spp.,kulit batang,"iritasi tenggorokan ringan; dukungan antimikroba tradisional","ramuan rebusan pendamping untuk keluhan tenggorokan ringan","Kayu manis banyak digunakan dalam ramuan tradisional dan memiliki dukungan review untuk aktivitas antimikroba, termasuk terhadap patogen oral, sehingga dapat diposisikan sebagai komponen pendamping ramuan tenggorokan ringan.",medium,"Gunakan dalam jumlah wajar. Hati-hati pada konsumsi berlebihan, penyakit hati tertentu, atau interaksi dengan obat. Tidak untuk klaim terapi infeksi berat.","Kemenkes Keslan artikel kayu manis; PubMed PMID 29702210; PubMed PMID 32932678"
herb_010,Serai,Cymbopogon citratus,batang/daun,"rasa tidak nyaman tenggorokan ringan; dukungan antimikroba tradisional","ramuan rebusan pendamping saat keluhan tenggorokan ringan atau batuk ringan","Serai umum dipakai dalam rebusan tradisional dan memiliki dukungan ilmiah terutama pada aktivitas antimikroba oral, namun bukti klinis langsung untuk sakit tenggorokan masih terbatas.",low_to_medium,"Gunakan sebagai pendamping gejala ringan. Tidak menggantikan pemeriksaan bila nyeri tenggorokan berat, demam tinggi, atau sulit menelan.","PubMed PMID 39286661; PubMed PMID 29116300; PubMed PMID 35052524"
herb_011,Ramuan madu-kayu manis-serai,,kombinasi rebusan,"sakit tenggorokan ringan; batuk ringan; rasa tidak nyaman tenggorokan","gejala ringan saluran napas atas sebagai diferensial dari penyakit tropis","Kombinasi rebusan serai dan kayu manis dengan tambahan madu setelah hangat dapat diposisikan sebagai ramuan tradisional pendamping untuk membantu melegakan tenggorokan ringan. Klaim ini merupakan inferensi terkurasi dari manfaat masing-masing bahan dan bukan bukti klinis langsung atas kombinasi.",low_to_medium,"Hanya untuk gejala ringan. Madu tidak untuk bayi <12 bulan. Bila ada demam tinggi, sesak, sulit menelan berat, ruam, atau gejala menetap, harus ke fasilitas kesehatan.","Inferensi terkurasi dari Kemenkes Keslan madu dan literatur PubMed kayu manis/serai"
herb_012,Jeruk nipis,Citrus aurantiifolia,buah/perasan,"batuk ringan; pilek ringan; tenggorokan tidak nyaman","ramuan pendamping batuk pilek ringan sebagai pembanding gejala penyakit tropis","Jeruk nipis digunakan secara tradisional bersama madu untuk membantu batuk pilek ringan dan tenggorokan tidak nyaman, terutama sebagai minuman hangat pendamping.",medium,"Hati-hati pada lambung sensitif. Tidak menggantikan pemeriksaan bila batuk disertai sesak, demam tinggi, batuk darah, atau nyeri dada.","Kemenkes Keslan batuk dengan pengobatan tradisional"
herb_013,Lidah buaya,Aloe vera,gel daun,"gatal ringan; ruam merah ringan; iritasi kulit ringan","keluhan kulit ringan sebagai pembanding ruam pada penyakit infeksi tropis","Gel lidah buaya secara tradisional dan dalam beberapa literatur digunakan sebagai bahan topikal penenang kulit, namun bukti klinis untuk semua jenis ruam masih terbatas. Dalam sistem ini hanya dipakai untuk keluhan ringan tanpa tanda bahaya.",low_to_medium,"Lakukan uji tempel kecil. Jangan digunakan pada luka terbuka, ruam melepuh, area mata, atau bila muncul perih/gatal memburuk. Ruam dengan demam, perdarahan, sesak, atau bengkak wajah/bibir harus dievaluasi medis.","PubMed aloe vera dermatitis review; CDC dengue rash warning signs"
